Date,Private equity,Private equity returns,MSCI PRICE,MSCI TOTAL RETURN,MSCI TOTAL RETURN.1,gold,LEV LOANS INDEX,CORPORATE BONDS TR,REITs GLOBAL TR,Fama French Market,Fama French Size,Fama French Value,Fama French Robust,Fama French Conservative,Risk free
1995-07-31,366.8433333333333,0.022476366563393135,715.02,1474.114,1705.582,383.1,,,,147.470673,105.9141851,111.3957056,127.1592882,104.6451935,130.0716751
1995-08-31,374.99666666666667,0.021982264778954708,716.82,1474.553,1667.891,382.3,,,,148.2817617,107.7782747,114.5259249,125.6079449,106.3299811,130.683012
1995-10-31,395.81333333333333,0.03251616223198717,744.4,1540.647,1690.085,382.75,,,,150.9198129,101.4272567,113.8848718,129.2492841,106.6913415,131.8618002
1995-11-30,408.47666666666663,0.0314920734772306,777.07,1608.724,1749.089,387.85,,,,156.8962374,100.341985,114.545404,128.5254881,107.8969536,132.4156198
1996-01-31,430.0566666666667,0.020951662980349894,819.0,1692.017,1833.446,405.75,,,,162.094646,98.48697479,115.2105921,126.9926648,113.7893659,133.6366335
1996-02-29,438.9733333333333,0.020521684164023668,826.59,1709.998,1844.949,401.35,,,,164.2505048,100.2203455,113.9778388,127.2974472,111.6387469,134.1578163
1996-04-30,462.65999999999997,0.0324447765210536,846.85,1753.61,1920.44,391.75,,,,168.8577938,106.6515653,109.7554386,128.9747591,108.2340509,135.3005646
1996-05-31,477.43,0.03142510924285169,868.69,1800.809,1922.445,390.95,,,,172.8428378,110.0857457,108.7786152,129.1811187,107.9093488,135.8688269
1996-07-31,500.74666666666667,0.01721517988517185,833.48,1732.479,1864.566,385.35,,,,160.6713454,102.0476368,117.0918381,137.6468173,111.9998901,137.0261576
1996-09-30,517.84,0.016642170294270286,898.97,1871.283,1960.56,378.6,,,,173.3945509,103.2254074,113.0872738,138.7685797,106.8851687,138.1933519
1996-10-31,531.7766666666666,0.026557287465164947,923.76,1919.512,1974.601,379.75,,,,174.8857441,99.34413206,118.6737851,140.6835861,110.3696252,138.773764
1996-12-31,559.65,0.02521778099218963,973.9,2026.293,2052.559,369.65,,100.0,,182.6572293,98.66408968,121.911619,144.1837656,111.1185206,139.983713
1997-01-31,560.46,0.001446286777536443,1034.74,2165.497,2077.648,344.15,1006.911,100.568,,191.7535593,96.86840325,120.1317093,145.9428075,110.9740665,140.6136397
1997-02-28,561.27,0.0014441980526243015,1042.85,2181.224,2101.899,358.65,1006.911,101.06,,190.8139669,94.38857213,126.9672036,146.8914358,114.835964,141.1620329
1997-03-31,562.08,0.0014421153520798313,1000.0,2084.009,2060.685,347.95,1006.911,100.327,,181.2351057,93.98270127,131.2840885,147.5524472,116.799659,141.7690296
1997-04-30,582.0166666666667,0.034854895688200216,1059.7,2221.712,2128.403,340.1,1028.505,101.519,,188.557004,88.61628902,131.3759874,152.3331465,115.9703815,142.3786365
1997-06-30,621.89,0.032583305300781795,1174.59,2455.442,2373.247,334.55,1036.156,103.731,,209.5176417,93.94875206,127.9661131,151.6237128,113.2583155,143.6056741
1997-07-31,640.1766666666666,0.028980951702918034,1268.05,2650.06,2482.91,326.35,1050.899,106.588,,224.8752848,91.34637163,128.3372148,151.7298494,110.3702285,144.2231785
1997-09-30,676.75,0.027393090967176903,1262.56,2623.869,2443.432,333.05,1062.914,107.618,,227.0745089,100.7641707,130.370795,147.6447629,109.5305704,145.4516773
1997-10-31,693.6166666666667,0.024617525902755233,1220.4,2552.82,2315.204,312.55,1066.993,108.814,,218.4456775,100.2099677,133.3041379,149.1802685,111.5897451,146.0625743
1997-12-31,727.35,0.023462302616376718,1298.82,2716.982,2385.63,289.15,1075.228,110.162,,227.9247695,93.18776426,140.0972288,154.5992119,115.7110144,147.336053
1998-03-31,793.37,0.02813018339701223,1480.0,3099.36,2729.763,301.35,1083.371,112.337,,255.9670528,91.52399471,138.6252294,154.963314,111.61758,149.1260115
1998-04-30,807.2966666666666,0.017401521986045054,1494.89,3136.193,2756.845,309.8,1106.86,112.993,,257.8356123,91.47823271,139.8728564,152.3754267,111.1264627,149.7672534
1998-06-30,835.15,0.016816250991316117,1528.87,3206.355,2787.712,297.65,1121.857,114.974,,257.8675169,85.54784891,141.7938143,153.6206265,110.5977652,150.9828243
1998-07-31,823.1766666666666,-0.014440509989036343,1512.59,3175.11,2783.643,288.55,1127.288,115.32,,251.523976,81.03947727,139.2982432,156.2629012,111.0954551,151.5867556
1998-08-31,811.2033333333334,-0.014652097479719295,1293.9,2733.618,2412.838,275.15,1127.288,116.053,,211.0789206,76.84973629,144.3129799,161.638345,117.6389774,152.2385786
1998-09-30,799.23,-0.0148699777998349,1376.79,2913.732,2455.929,294.95,1124.227,118.931,,224.0602742,76.25799332,139.4496325,158.5672165,114.1450998,152.9388761
1998-11-30,848.6766666666666,0.02956437956765523,1579.02,3353.374,2838.074,292.35,1115.868,119.617,,254.6779539,74.17288474,131.8551595,158.6012228,113.204946,153.9039082
1998-12-31,873.4,0.028715367482323728,1670.01,3551.723,2977.153,287.75,1134.59,119.773,,270.3661158,73.00837045,126.3436138,157.3958535,109.3446573,154.488743
1999-03-31,937.27,0.022976864037459244,1753.21,3751.828,3086.008,279.85,1135.528,120.727,,277.6721204,65.80039515,119.3712757,145.0145678,104.573912,156.2410166
1999-04-30,991.8733333333333,0.05662401654791349,1821.11,3887.652,3208.093,286.55,1141.041,121.692,,289.6953232,68.78115305,122.2481234,141.3166963,105.5464493,156.8191083
1999-05-31,1046.4766666666667,0.053588834133446284,1778.1,3797.28,3091.297,269.95,1154.939,120.819,,282.5688183,71.35356818,125.0598303,142.7298633,109.0505915,157.3522933
1999-06-30,1101.08,0.05086255020660957,1876.78,4001.631,3235.914,261.15,1162.3,119.899,,296.0473509,72.99470025,120.9828798,144.3284378,105.5173523,157.9817025
1999-08-31,1187.9333333333332,0.037241417289594736,1809.19,3847.674,3221.377,255.15,1172.887,119.687,,281.7724273,73.58288862,118.2580163,144.5726444,109.569321,159.2005029
1999-09-30,1231.36,0.03590414697202782,1759.59,3733.527,3190.575,301.0,1163.725,120.623,,273.9109765,75.5107603,114.1426373,143.5028068,108.2873599,159.8213848
1999-11-30,1558.5533333333333,0.11089468910920086,1908.97,4063.205,3451.734,291.7,1171.296,121.478,,300.4700532,74.38593692,103.501795,134.984176,105.0622548,161.0222891
1999-12-31,1722.15,0.09981546964712429,2021.4,4346.659,3731.559,291.0,1181.903,121.631,,323.6663413,78.35814595,94.89044562,124.7253786,99.16826231,161.7307872
2000-01-31,1830.2333333333333,0.060869953053255266,1919.84,4113.942,3518.29,283.05,1191.21,121.489,,308.3245567,81.84508344,93.0970162,116.8801523,103.8688379,162.3938834
2000-02-29,1938.3166666666668,0.057376435534224335,1883.5,4016.239,3528.217,293.75,1197.06,122.417,,315.8785083,96.88820978,83.96419891,94.95343572,103.505297,163.0921771
2000-03-31,2046.4,0.05426225302916876,2067.76,4417.244,3772.522,277.45,1191.175,123.751,,332.3041908,81.97711429,90.87445248,106.1769318,101.8388617,163.8587103
2000-05-31,2065.1266666666666,0.004544333601148587,1964.4,4161.501,3522.404,272.65,1203.738,123.299,,297.2888994,74.89589181,102.170306,119.0993079,108.9820269,165.4355227
2000-06-30,2074.49,0.004523776018565684,2012.83,4261.432,3641.498,289.0,1213.502,125.155,,311.0831044,82.28811633,93.57778322,109.261705,105.8106499,166.0972648
2000-07-31,2100.1499999999996,0.012293430409399342,1981.36,4185.351,3539.433,277.25,1222.473,126.362,,303.2749184,81.44877755,101.3728126,115.9157429,108.9426451,166.8945317
2000-08-31,2125.81,0.012144135467766937,2104.43,4403.062,3655.012,277.0,1225.67,127.302,,324.5951452,80.62614489,99.98400503,112.426679,110.0974372,167.7290043
2000-10-31,2075.7666666666664,-0.0358207660849823,1984.9,4134.069,3403.538,264.45,1229.422,128.922,,298.4341398,78.63703985,113.1962794,126.4105252,120.6816587,169.528495
2000-11-30,2000.0633333333333,-0.03715171662891947,1828.42,3807.643,3197.338,268.55,1234.195,130.776,,266.442,78.18094502,127.1647003,143.3242535,130.8430544,170.3930903
2001-01-31,1864.97,-0.0313484777521813,1902.55,3940.799,3312.626,265.2,1252.393,135.36,,278.0515361,85.16238614,129.8372445,138.8049187,130.1863596,172.1697791
2001-02-28,1805.58,-0.032363097366094884,1729.07,3588.647,3033.04,266.2,1264.842,136.543,,250.1073567,87.53841671,146.0409326,151.4639273,141.9812438,172.8240242
2001-04-30,1741.2366666666667,-0.0028406829090226182,1745.39,3621.65,3044.611,263.85,1264.202,137.187,,250.3663579,88.8158053,148.1416336,151.1489247,142.8274236,174.2267297
2001-05-31,1736.2833333333333,-0.0028487753820192196,1757.09,3643.445,3006.796,267.25,1275.978,138.363,,252.1689956,92.00429271,153.1191924,151.526797,145.5554274,174.7842552
2001-07-31,1674.6633333333332,-0.033277749222224706,1697.44,3526.865,2874.656,265.95,1289.772,141.889,,242.0099188,95.27418875,159.2763096,164.8372655,147.7156097,175.7994721
2001-08-31,1617.9966666666667,-0.03442339157234109,1591.18,3292.648,2737.233,273.1,1300.402,143.362,,226.376078,97.85611927,162.9396648,171.5296584,157.4057537,176.3444505
2001-10-31,1545.71,-0.010054670421745016,1490.58,3085.453,2544.471,280.5,1265.922,146.309,,210.4900236,97.11970892,152.6551803,174.7348565,155.081642,177.227259
2001-11-30,1530.09,-0.010156794512205636,1604.92,3323.252,2695.385,274.95,1281.793,145.481,,226.3609713,96.81863782,156.0441253,168.1997729,152.5072867,177.5285453
2001-12-31,1514.47,-0.01026101443241867,1618.98,3344.37,2712.658,276.8,1292.249,144.533,,229.9827469,101.8144795,157.3705004,168.7884721,152.0802663,177.7948382
2002-01-31,1500.9966666666667,-0.00893621086416907,1595.35,3297.208,2630.77,281.95,1300.593,145.304,,226.6709953,103.0871605,162.7840456,176.7046514,156.4145539,178.0437509
2002-02-28,1487.5233333333333,-0.009016787318002706,1564.59,3232.827,2608.413,296.8,1293.216,145.901,,221.4802295,102.7160467,166.300181,190.9470463,164.3916961,178.2752078
2002-04-30,1459.3999999999999,-0.009988322145025208,1525.0,3135.884,2632.752,307.7,1325.122,145.848,,218.8656997,114.2770994,174.5838059,196.1566508,174.2415255,178.774726
2002-05-31,1444.75,-0.010089096133632403,1513.77,3112.559,2638.855,325.3,1327.412,146.947,,215.8453531,110.825931,177.2549381,200.7663321,178.4581704,179.0250106
2002-07-31,1402.6766666666665,-0.01936205587730022,1296.34,2668.65,2270.613,304.85,1303.21,147.91,,183.8997616,107.7348894,170.3440535,216.5019314,181.0715083,179.5266298
2002-09-30,1347.83,-0.02014206479463798,1163.04,2378.786,2025.606,323.6,1299.385,153.08,,165.690467,109.6084853,178.5165888,226.5555969,174.5375863,180.0296562
2002-10-31,1342.1833333333334,-0.0041982505368132195,1265.41,2594.869,2175.475,316.95,1285.562,151.683,,178.6805996,104.8953204,171.4651835,218.9433289,175.8989795,180.2816977
